Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Beschäftigte am Wohnort ohne Berufsabschluss;Beschäftigte am Wohnort mit akademischem Abschluss;Frauenanteil;Ausländeranteil;Stimmenanteile AfD;Haushaltseinkommen;Medianeinkommen;Krankenhausbetten;Einwohner je Arzt;Einwohnerdichte
;;;2017;2017;2017;2017;2017;2017;2017;2017;2016;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"8,9";"15,7";"14,0";"50,2";"13,3";"7,5";"1.598";"2.986";"9,47";"461,0";"1.560"
"01002";"Kiel, Stadt";"krsfr. Stadt";"9,1";"13,9";"20,5";"51,3";"11,3";"6,9";"1.604";"3.304";"9,84";"434,2";"2.090"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"8,6";"12,8";"14,2";"52,0";"9,7";"8,9";"1.698";"3.036";"9,15";"461,2";"1.010"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"9,2";"15,0";"6,9";"50,6";"11,0";"10,3";"1.606";"2.842";"8,62";"610,3";"1.108"
"01051";"Dithmarschen";"Landkreis";"6,8";"12,7";"6,8";"50,6";"5,6";"8,6";"1.906";"2.914";"5,26";"780,4";"93"
"01053";"Herzogtum Lauenburg";"Landkreis";"5,5";"10,8";"10,6";"50,9";"7,5";"10,2";"1.955";"2.832";"3,14";"793,8";"155"
"01054";"Nordfriesland";"Landkreis";"6,1";"11,7";"6,9";"51,0";"6,8";"5,8";"2.135";"2.768";"4,39";"752,1";"79"
"01055";"Ostholstein";"Landkreis";"5,6";"10,6";"8,0";"51,7";"5,5";"8,5";"1.923";"2.636";"8,24";"657,7";"151"
"01056";"Pinneberg";"Landkreis";"5,0";"11,4";"12,7";"50,9";"10,1";"8,6";"2.052";"3.036";"3,11";"779,7";"471"
"01057";"Plön";"Landkreis";"5,0";"10,7";"11,0";"51,4";"4,7";"7,7";"1.916";"2.771";"1,93";"795,3";"112"
"01058";"Rendsburg-Eckernförde";"Landkreis";"4,9";"11,0";"11,7";"50,8";"5,0";"7,3";"1.971";"2.945";"4,11";"746,0";"125"
"01059";"Schleswig-Flensburg";"Landkreis";"6,0";"12,3";"8,3";"50,5";"5,1";"6,6";"1.905";"2.715";"3,47";"859,9";"96"
"01060";"Segeberg";"Landkreis";"4,7";"11,4";"10,6";"50,6";"8,1";"9,0";"1.932";"3.031";"6,13";"851,0";"198"
"01061";"Steinburg";"Landkreis";"6,1";"12,1";"8,3";"50,6";"6,6";"8,2";"1.804";"2.991";"4,50";"735,3";"125"
"01062";"Stormarn";"Landkreis";"3,4";"9,8";"14,4";"51,1";"7,0";"9,1";"2.121";"3.023";"4,72";"784,7";"334"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"6,8";"12,6";"24,7";"51,0";"16,2";"7,8";"2.022";"3.619";"6,93";"549,2";"2.424"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"5,8";"10,7";"27,6";"50,5";"9,7";"8,4";"1.871";"3.438";"8,07";"503,1";"1.287"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"10,5";"14,4";"7,3";"50,3";"16,9";"16,4";"1.651";"4.085";"4,28";"590,7";"466"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"4,9";"8,8";"17,1";"50,3";"14,3";"11,7";"2.064";"4.622";"4,44";"590,1";"606"
"03151";"Gifhorn";"Landkreis";"4,7";"10,0";"13,4";"49,9";"6,2";"11,4";"1.993";"3.136";"2,51";"1.036,0";"112"
"03153";"Goslar";"Landkreis";"7,1";"11,1";"10,8";"50,6";"8,9";"11,1";"1.756";"2.858";"7,81";"681,0";"142"
"03154";"Helmstedt";"Landkreis";"6,9";"9,1";"10,4";"50,4";"6,6";"9,9";"1.945";"2.720";"8,54";"849,3";"136"
"03155";"Northeim";"Landkreis";"5,8";"12,0";"8,4";"50,8";"5,9";"9,5";"1.859";"2.931";"3,56";"707,7";"105"
"03157";"Peine";"Landkreis";"5,3";"11,8";"10,4";"50,6";"7,2";"10,3";"1.815";"2.946";"2,32";"849,5";"249"
"03158";"Wolfenbüttel";"Landkreis";"5,5";"10,2";"14,5";"50,5";"5,9";"9,9";"1.869";"2.979";"2,45";"879,1";"166"
"03159";"Göttingen";"Landkreis";"5,9";"11,7";"18,7";"50,9";"8,1";"8,1";"1.739";"3.128";"10,34";"575,5";"187"
"03241";"Region Hannover";"Landkreis";"7,1";"12,2";"18,5";"51,1";"13,1";"9,4";"1.798";"3.387";"6,17";"613,1";"502"
"03251";"Diepholz";"Landkreis";"4,2";"11,1";"8,9";"50,3";"7,8";"8,4";"1.963";"2.822";"2,23";"968,7";"108"
"03252";"Hameln-Pyrmont";"Landkreis";"6,8";"11,4";"9,6";"51,7";"9,7";"10,5";"1.830";"3.142";"7,45";"680,3";"186"
"03254";"Hildesheim";"Landkreis";"6,4";"11,4";"12,8";"51,3";"7,6";"9,3";"1.776";"3.044";"6,15";"678,0";"229"
"03255";"Holzminden";"Landkreis";"6,7";"13,6";"8,6";"50,5";"7,0";"9,6";"1.793";"3.132";"2,89";"808,5";"102"
"03256";"Nienburg (Weser)";"Landkreis";"5,3";"13,7";"7,1";"50,3";"7,7";"9,8";"1.781";"2.866";"2,95";"934,4";"87"
"03257";"Schaumburg";"Landkreis";"6,0";"10,9";"10,0";"51,1";"8,2";"10,3";"1.820";"2.880";"3,76";"818,0";"234"
"03351";"Celle";"Landkreis";"7,1";"11,5";"9,6";"50,8";"7,4";"11,7";"1.739";"3.154";"3,89";"715,1";"115"
"03352";"Cuxhaven";"Landkreis";"5,5";"12,0";"7,7";"51,0";"6,2";"8,9";"1.843";"2.768";"3,40";"921,4";"96"
"03353";"Harburg";"Landkreis";"4,1";"10,0";"13,1";"50,7";"7,3";"10,0";"2.134";"2.718";"2,96";"917,9";"201"
"03354";"Lüchow-Dannenberg";"Landkreis";"8,1";"9,7";"8,7";"50,9";"5,3";"7,8";"1.763";"2.700";"2,42";"732,7";"39"
"03355";"Lüneburg";"Landkreis";"5,6";"11,2";"16,4";"51,1";"6,6";"9,2";"1.739";"2.890";"4,86";"682,6";"138"
"03356";"Osterholz";"Landkreis";"3,8";"10,5";"11,5";"50,8";"5,3";"9,6";"1.903";"2.737";"1,91";"876,8";"173"
"03357";"Rotenburg (Wümme)";"Landkreis";"4,3";"12,5";"8,0";"49,7";"6,0";"8,1";"1.892";"2.850";"6,37";"833,6";"79"
"03358";"Heidekreis";"Landkreis";"6,1";"12,8";"7,3";"50,1";"7,7";"9,7";"1.759";"2.892";"3,31";"837,9";"74"
"03359";"Stade";"Landkreis";"5,6";"12,2";"10,8";"50,3";"8,0";"9,5";"1.911";"3.098";"4,61";"801,1";"159"
"03360";"Uelzen";"Landkreis";"5,8";"11,0";"9,1";"51,1";"5,5";"9,4";"1.776";"2.766";"8,87";"697,3";"63"
"03361";"Verden";"Landkreis";"4,8";"12,5";"10,9";"50,8";"7,2";"9,7";"1.970";"2.926";"1,93";"789,5";"173"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"10,2";"13,8";"6,8";"50,5";"14,6";"13,1";"1.611";"2.815";"4,63";"711,2";"1.241"
"03402";"Emden, Stadt";"krsfr. Stadt";"8,7";"12,5";"10,6";"49,9";"9,7";"10,0";"1.575";"3.562";"6,93";"617,2";"450"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"7,3";"11,7";"22,1";"52,2";"9,3";"6,7";"1.653";"3.152";"10,28";"476,0";"1.621"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"7,5";"13,8";"21,3";"51,6";"12,7";"6,2";"1.752";"3.245";"12,88";"438,3";"1.372"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"11,3";"13,6";"9,1";"50,8";"8,5";"10,6";"1.540";"3.169";"8,19";"508,8";"713"
"03451";"Ammerland";"Landkreis";"4,3";"10,6";"9,9";"51,1";"5,6";"7,9";"1.879";"2.809";"6,80";"801,1";"169"
"03452";"Aurich";"Landkreis";"6,9";"11,4";"7,4";"50,7";"5,4";"8,9";"1.730";"2.785";"3,69";"778,5";"148"
"03453";"Cloppenburg";"Landkreis";"4,8";"15,9";"6,0";"49,4";"10,1";"9,1";"1.753";"2.609";"2,87";"1.011,6";"118"
"03454";"Emsland";"Landkreis";"3,0";"11,2";"8,7";"49,2";"10,3";"6,3";"1.834";"2.972";"5,47";"834,1";"112"
"03455";"Friesland";"Landkreis";"5,3";"10,4";"8,8";"51,2";"4,3";"8,2";"1.751";"2.898";"5,05";"729,7";"162"
